Accession,Family
KU052530.1,Secoviridae
KU052531.1,Secoviridae
KU053483.2,Circoviridae
KU053507.1,Potyviridae
KU057949.1,Mitoviridae
KU058671.1,Smacoviridae
KU064779.1,Autotranscriptaviridae
KU095839.1,Chuviridae
KU095840.1,Rhabdoviridae
KU127239.1,Rhabdoviridae
KU130129.1,Vandenendeviridae
KU159360.1,Picornaviridae
KU159764.1,Peribunyaviridae
KU159765.1,Peribunyaviridae
KU159766.1,Peribunyaviridae
KU160656.1,Berryhillviridae
KU168312.1,Caulimoviridae
KU168861.1,Picornaviridae
KU172420.1,Picornaviridae
KU172421.1,Parvoviridae
KU178983.1,Peribunyaviridae
KU178984.1,Peribunyaviridae
KU178985.1,Peribunyaviridae
KU178986.1,Rhabdoviridae
KU183006.1,Autotranscriptaviridae
KU187189.1,Tombusviridae
KU194360.1,Rhabdoviridae
KU197013.1,Autonotataviridae
KU198602.1,Spinareoviridae
KU198603.1,Spinareoviridae
KU198604.1,Spinareoviridae
KU198605.1,Spinareoviridae
KU198607.1,Spinareoviridae
KU198608.1,Spinareoviridae
KU198609.1,Spinareoviridae
KU198610.1,Spinareoviridae
KU200450.1,Amalgaviridae
KU204984.2,Mesyanzhinovviridae
KU215538.1,Secoviridae
KU220026.1,Orthoherpesviridae
KU230450.1,Phenuiviridae
KU230451.1,Chuviridae
KU230452.1,Circoviridae
KU244266.2,Rhabdoviridae
KU248085.1,Rhabdoviridae
KU248489.1,Solemoviridae
KU253712.1,Herelleviridae
KU255114.1,Phenuiviridae
KU255115.1,Phenuiviridae
KU255730.1,Straboviridae
KU291923.1,Mitoviridae
KU297253.1,Phenuiviridae
KU297674.1,Picornaviridae
KU297983.1,Solemoviridae
KU302440.1,Arteriviridae
KU307456.1,Tristromaviridae
KU315178.1,Solemoviridae
KU321654.1,Parvoviridae
KU343137.1,Genomoviridae
KU343139.1,Nairoviridae
KU343140.1,Nairoviridae
KU343148.1,Nairoviridae
KU343149.1,Nairoviridae
KU343150.1,Nairoviridae
KU343151.1,Nairoviridae
KU343152.1,Nairoviridae
KU343153.1,Nairoviridae
KU343154.1,Nairoviridae
KU343156.1,Nairoviridae
KU343160.1,Nairoviridae
KU343161.1,Nairoviridae
KU343164.1,Nairoviridae
KU343165.1,Nairoviridae
KU343169.1,Nairoviridae
KU343170.1,Nairoviridae
KU343171.1,Nairoviridae
KU351669.1,Flaviviridae
KU355553.1,Potyviridae
KU355876.1,Picornaviridae
KU355877.1,Picornaviridae
KU356689.1,Mesyanzhinovviridae
KU356690.1,Schitoviridae
KU356691.1,Schitoviridae
KU365408.1,Caulimoviridae
KU507317.1,Iridoviridae
KU508800.1,Caulimoviridae
KU519391.1,Papillomaviridae
KU519392.1,Papillomaviridae
KU519393.1,Papillomaviridae
KU519394.1,Papillomaviridae
KU519396.1,Papillomaviridae
KU556609.1,Potyviridae
KU561552.1,Parvoviridae
KU565883.1,Baculoviridae
KU587555.1,Picornaviridae
KU593505.2,Baculoviridae
KU594605.1,Kyanoviridae
KU594606.1,Kyanoviridae
KU595432.1,Autonotataviridae
KU597305.1,Pseudototiviridae
KU640380.1,Herelleviridae
KU641378.1,Tospoviridae
KU641379.1,Tospoviridae
KU641380.1,Tospoviridae
KU647629.1,Berryhillviridae
KU672593.1,Paramyxoviridae
KU686201.1,Kyanoviridae
KU686207.1,Kyanoviridae
KU686210.1,Kyanoviridae
KU686211.1,Kyanoviridae
KU686212.1,Kyanoviridae
KU687347.1,Autotranscriptaviridae
KU687348.1,Autotranscriptaviridae
KU687350.1,Autotranscriptaviridae
KU726694.1,Betaflexiviridae
KU727766.1,Parvoviridae
KU728180.1,Fusagraviridae
KU728181.1,Fusagraviridae
KU749310.1,Poxviridae
KU749311.1,Poxviridae
KU751814.1,Amnoonviridae
KU752557.1,Baculoviridae
KU761955.1,Vandenendeviridae
KU762338.1,Coronaviridae
KU831549.1,Salasmaviridae
KU867876.1,Straboviridae
KU877344.1,Mimiviridae
KU878968.1,Straboviridae
KU878969.1,Straboviridae
KU879245.1,Polyomaviridae
KU884563.1,Fredfastierviridae
KU885988.1,Schitoviridae
KU885989.1,Schitoviridae
KU886223.1,Chimalliviridae
KU886224.1,Chimalliviridae
KU886558.1,Curvulaviridae
KU923747.1,Endornaviridae
KU923759.1,Alphasatellitidae
KU925434.1,Nairoviridae
KU925435.1,Nairoviridae
KU925438.1,Nairoviridae
KU925439.1,Nairoviridae
KU925440.1,Nairoviridae
KU925441.1,Nairoviridae
KU925442.1,Nairoviridae
KU925447.1,Nairoviridae
KU925448.1,Nairoviridae
KU925467.1,Nairoviridae
KU925468.1,Nairoviridae
KU925469.1,Nairoviridae
KU925470.1,Nairoviridae
KU925472.1,Nairoviridae
KU925474.1,Nairoviridae
KU925475.1,Nairoviridae
KU925480.1,Nairoviridae
KU925481.1,Nairoviridae
KU925482.1,Nairoviridae
KU925483.1,Nairoviridae
KU925484.1,Nairoviridae
KU925485.1,Nairoviridae
KU925486.1,Nairoviridae
KU925487.1,Nairoviridae
KU925488.1,Nairoviridae
KU925489.1,Nairoviridae
KU925490.1,Nairoviridae
KU925494.1,Nairoviridae
KU925495.1,Nairoviridae
KU925496.1,Nairoviridae
KU925497.1,Nairoviridae
KU925498.1,Nairoviridae
KU925499.1,Nairoviridae
KU925500.1,Nairoviridae
KU927499.1,Autotranscriptaviridae
KU933932.1,Pseudototiviridae
KU933933.1,Nairoviridae
KU933934.1,Nairoviridae
KU933936.1,Phenuiviridae
KU933937.1,Phenuiviridae
KU934008.1,Hantaviridae
KU934009.1,Hantaviridae
KU935732.1,Potyviridae
KU936049.1,Orthoherpesviridae
KU941946.1,Potyviridae
KU946962.1,Autosignataviridae
KU950356.1,Parvoviridae
KU950715.1,Hantaviridae
KU963250.1,Stackebrandtviridae
KU977108.1,Picornaviridae
KU980965.1,Poxviridae
KU981083.1,Potyviridae
KU981084.1,Potyviridae
KU984966.1,Spinareoviridae
KU984968.1,Spinareoviridae
KU984970.1,Spinareoviridae
KU984971.1,Spinareoviridae
KU998234.1,Stackebrandtviridae
KU999109.1,Solemoviridae
KX000914.1,Betaflexiviridae
KX008573.1,Caulimoviridae
KX008574.1,Caulimoviridae
KX008577.1,Caulimoviridae
KX008963.1,Phycodnaviridae
KX009778.4,Straboviridae
KX013584.1,Potyviridae
KX015770.1,Drexlerviridae
KX024775.1,Solinviviridae
KX035107.1,Parvoviridae
KX058345.1,Alphaflexiviridae
KX058433.1,Hepadnaviridae
KX066020.1,Caulimoviridae
KX066068.1,Autonotataviridae
KX074201.1,Cystoviridae
KX074202.1,Cystoviridae
KX078569.1,Straboviridae
KX098389.2,Schitoviridae
KX098515.1,Papillomaviridae
KX100109.1,Peribunyaviridae
KX100110.1,Peribunyaviridae
KX100111.1,Peribunyaviridae
KX100118.1,Peribunyaviridae
KX100119.1,Peribunyaviridae
KX100120.1,Peribunyaviridae
KX100127.1,Peribunyaviridae
KX100128.1,Peribunyaviridae
KX100129.1,Peribunyaviridae
KX100130.1,Peribunyaviridae
KX100131.1,Peribunyaviridae
KX100132.1,Peribunyaviridae
KX100134.1,Peribunyaviridae
KX100135.1,Peribunyaviridae
KX121164.1,Adenoviridae
KX130344.1,Nudiviridae
KX130668.1,Drexlerviridae
KX130726.1,Autotranscriptaviridae
KX130727.1,Straboviridae
KX130861.1,Straboviridae
KX130862.1,Straboviridae
KX130863.1,Demerecviridae
KX130864.1,Straboviridae
KX130865.1,Straboviridae
KX130960.1,Drexlerviridae
KX147096.1,Ackermannviridae
KX148552.1,Xinmoviridae
KX148553.1,Xinmoviridae
KX156156.1,Picornaviridae
KX156157.1,Picornaviridae
KX156158.1,Picornaviridae
KX156159.1,Picornaviridae
KX159470.1,Tombusviridae
KX161718.1,Peribunyaviridae
KX161719.1,Peribunyaviridae
KX161720.1,Peribunyaviridae
KX165268.1,Parvoviridae
KX168422.1,Caulimoviridae
KX168428.1,Alphasatellitidae
KX171209.1,Schitoviridae
KX171212.1,Herelleviridae
KX179905.1,Inoviridae
KX181651.1,Inoviridae
KX184304.1,Tombusviridae
KX184715.1,Tobaniviridae
KX196173.2,Alphaflexiviridae
KX228196.1,Rhabdoviridae
KX228197.1,Rhabdoviridae
KX228198.1,Rhabdoviridae
KX229736.1,Connertonviridae
KX241482.1,Secoviridae
KX241485.1,Secoviridae
KX241618.1,Mesyanzhinovviridae
KX245012.1,Ackermannviridae
KX246262.1,Draupnirviridae
KX247377.1,Tospoviridae
KX247378.1,Tospoviridae
KX247379.1,Tospoviridae
KX258185.1,Straboviridae
KX258200.1,Paramyxoviridae
KX262893.1,Anelloviridae
KX263307.1,Spinareoviridae
KX263308.1,Spinareoviridae
KX263309.1,Spinareoviridae
KX263310.1,Spinareoviridae
KX263311.1,Spinareoviridae
KX263312.1,Spinareoviridae
KX263313.1,Spinareoviridae
KX263314.1,Spinareoviridae
KX263315.1,Spinareoviridae
KX269865.1,Secoviridae
KX269871.1,Secoviridae
KX272741.1,Parvoviridae
KX272883.1,Phenuiviridae
KX276640.1,Caulimoviridae
KX276641.1,Caulimoviridae
KX276957.1,Papillomaviridae
KX280012.1,Leishbuviridae
KX280015.1,Leishbuviridae
KX344510.1,Pleolipoviridae
KX348228.1,Alphasatellitidae
KX349289.1,Kyanoviridae
KX349294.1,Kyanoviridae
KX349310.1,Kyanoviridae
KX349899.2,Salasmaviridae
KX349900.2,Salasmaviridae
KX349901.1,Salasmaviridae
KX353311.2,Iridoviridae
KX354202.1,Tymoviridae
KX354450.1,Asfarviridae
KX355613.1,Potyviridae
KX363561.1,Alphasatellitidae
KX371097.1,Caliciviridae
KX371887.3,Filoviridae
KX377933.1,Andersonviridae
KX384823.1,Parvoviridae
KX387865.1,Hepeviridae
KX397370.1,Chimalliviridae
KX405002.1,Sarkviridae
KX424571.1,Secoviridae
KX424572.1,Secoviridae
KX430257.1,Caulimoviridae
KX431032.1,Artoviridae
KX431381.1,Nanoviridae
KX431402.1,Nanoviridae
KX431409.1,Nanoviridae
KX431416.1,Nanoviridae
KX431559.1,Straboviridae
KX431888.1,Autotranscriptaviridae
KX438380.2,Ackermannviridae
KX443552.1,Straboviridae
KX451145.1,Leishbuviridae
KX452696.1,Autotranscriptaviridae
KX452698.1,Straboviridae
KX463670.1,Picornaviridae
KX470551.1,Peribunyaviridae
KX470552.1,Peribunyaviridae
KX470553.1,Peribunyaviridae
KX505867.1,Adenoviridae
KX505964.1,Potyviridae
KX507301.1,Leishbuviridae
KX509984.1,Polyomaviridae
KX513861.1,Alphasatellitidae
KX527575.1,Arenaviridae
KX527582.1,Arenaviridae
KX533457.1,Polyomaviridae
KX534399.1,Alphasatellitidae
KX534400.1,Alphasatellitidae
KX534408.1,Alphasatellitidae
KX551961.1,Hantaviridae
KX551962.1,Hantaviridae
KX557286.1,Stackebrandtviridae
KX574341.1,Iridoviridae
KX574342.1,Iridoviridae
KX574343.1,Iridoviridae
KX574453.1,Polyomaviridae
KX577802.1,Adenoviridae
KX578271.1,Iflaviridae
KX579501.1,Peribunyaviridae
KX583629.1,Parvoviridae
KX589065.1,Hepeviridae
KX589235.1,Orthoherpesviridae
KX591654.1,Autotranscriptaviridae
KX599536.1,Papillomaviridae
KX611132.1,Anelloviridae
KX611382.1,Phenuiviridae
KX611383.1,Phenuiviridae
KX611384.1,Phenuiviridae
KX611385.1,Phenuiviridae
KX611386.1,Phenuiviridae
KX611387.1,Phenuiviridae
KX611388.1,Phenuiviridae
KX611389.1,Phenuiviridae
KX611390.1,Phenuiviridae
KX611391.1,Phenuiviridae
KX611392.1,Phenuiviridae
KX611393.1,Phenuiviridae
KX611397.1,Phenuiviridae
KX611398.1,Phenuiviridae
KX611401.1,Phenuiviridae
KX611402.1,Phenuiviridae
KX611403.1,Phenuiviridae
KX611404.1,Phenuiviridae
KX611405.1,Phenuiviridae
KX643370.1,Iridoviridae
KX643371.1,Polyomaviridae
KX643372.1,Papillomaviridae
KX644936.1,Picornaviridae
KX644937.1,Picornaviridae
KX645875.2,Solemoviridae
KX649889.1,Sarkviridae
KX650645.1,Wupedeviridae
KX656670.1,Secoviridae
KX656671.1,Secoviridae
KX660669.1,Autonotataviridae
KX669227.5,Autotranscriptaviridae
KX670390.1,Orthomyxoviridae
KX670392.1,Orthomyxoviridae
KX686117.1,Nimaviridae
KX698422.1,Tospoviridae
KX698423.1,Tospoviridae
KX698424.1,Tospoviridae
KX709964.1,Partitiviridae
KX712143.1,Rudiviridae
KX756154.1,Polyomaviridae
KX756572.1,Autonotataviridae
KX756986.1,Circoviridae
KX756996.1,Circoviridae
KX759649.1,Alphasatellitidae
KX765862.1,Casjensviridae
KX765865.1,Ackermannviridae
KX774630.1,Phenuiviridae
KX774631.1,Phenuiviridae
KX778611.3,Autotranscriptaviridae
KX778766.1,Polymycoviridae
KX783423.1,Picornaviridae
KX783424.1,Picornaviridae
KX783425.1,Picornaviridae
KX784491.1,Botybirnaviridae
KX785335.1,Rhabdoviridae
KX810063.1,Anelloviridae
KX810064.1,Anelloviridae
KX812815.1,Secoviridae
KX812816.1,Secoviridae
KX817312.1,Peribunyaviridae
KX817313.1,Peribunyaviridae
KX817314.1,Peribunyaviridae
KX817318.1,Peribunyaviridae
KX817320.1,Peribunyaviridae
KX817321.1,Peribunyaviridae
KX817322.1,Peribunyaviridae
KX817323.1,Peribunyaviridae
KX817324.1,Peribunyaviridae
KX817325.1,Peribunyaviridae
KX817326.1,Peribunyaviridae
KX817327.1,Peribunyaviridae
KX817328.1,Peribunyaviridae
KX817329.1,Peribunyaviridae
KX817331.1,Peribunyaviridae
KX817332.1,Peribunyaviridae
KX817333.1,Peribunyaviridae
KX817335.1,Peribunyaviridae
KX817336.1,Peribunyaviridae
KX817338.1,Peribunyaviridae
KX821737.1,Fusagraviridae
KX828710.1,Drexlerviridae
KX828711.1,Straboviridae
KX833211.1,Peduoviridae
KX845404.2,Demerecviridae
KX845679.1,Hantaviridae
KX845680.1,Hantaviridae
KX852386.1,Rhabdoviridae
KX852388.1,Rhabdoviridae
KX852389.1,Phenuiviridae
KX852390.1,Phenuiviridae
KX852391.1,Phenuiviridae
KX852476.1,Caulimoviridae
KX855660.2,Baculoviridae
KX856009.1,Potyviridae
KX857665.1,Closteroviridae
KX871230.1,Adenoviridae
KX879627.1,Connertonviridae
KX879643.1,Aliceevansviridae
KX882062.1,Orthomyxoviridae
KX882070.1,Orthomyxoviridae
KX882938.1,Spiciviridae
KX882939.1,Orthototiviridae
KX882942.1,Inseviridae
KX882952.1,Lebotiviridae
KX882956.1,Inseviridae
KX882957.1,Lebotiviridae
KX882966.1,Inseviridae
KX882972.1,Artiviridae
KX882974.1,Inseviridae
KX882976.1,Lebotiviridae
KX882977.1,Inseviridae
KX882979.1,Lebotiviridae
KX882983.1,Orthototiviridae
KX882989.1,Artiviridae
KX882990.1,Orthototiviridae
KX882992.1,Artiviridae
KX882995.1,Artiviridae
KX882996.1,Inseviridae
KX882997.1,Orthototiviridae
KX883005.1,Hypoviridae
KX883006.1,Hypoviridae
KX883007.1,Hypoviridae
KX883627.1,Euroniviridae
KX883628.1,Euroniviridae
KX883636.1,Euroniviridae
KX883637.1,Tobaniviridae
KX883688.1,Polycipiviridae
KX883910.1,Polycipiviridae
KX883940.1,Polycipiviridae
KX883990.1,Qinviridae
KX883992.1,Qinviridae
KX883994.1,Qinviridae
KX883996.1,Qinviridae
KX883998.1,Qinviridae
KX884000.1,Qinviridae
KX884004.1,Qinviridae
KX884032.1,Yueviridae
KX884034.1,Yueviridae
KX884062.1,Picobirnaviridae
KX884403.1,Mymonaviridae
KX884405.1,Nyamiviridae
KX884406.1,Nyamiviridae
KX884408.1,Nyamiviridae
KX884409.1,Chuviridae
KX884410.1,Artoviridae
KX884411.1,Rhabdoviridae
KX884412.1,Artoviridae
KX884413.1,Artoviridae
KX884414.1,Rhabdoviridae
KX884415.1,Rhabdoviridae
KX884416.1,Aliusviridae
KX884417.1,Lispiviridae
KX884418.1,Lispiviridae
KX884419.1,Chuviridae
KX884420.1,Artoviridae
KX884421.1,Artoviridae
KX884424.1,Chuviridae
KX884427.1,Chuviridae
KX884429.1,Rhabdoviridae
KX884430.1,Xinmoviridae
KX884431.1,Rhabdoviridae
KX884433.1,Rhabdoviridae
KX884434.1,Rhabdoviridae
KX884436.1,Nyamiviridae
KX884439.1,Chuviridae
KX884441.1,Lispiviridae
KX884444.1,Myriaviridae
KX884446.1,Artoviridae
KX884448.1,Rhabdoviridae
KX884450.1,Rhabdoviridae
KX884451.1,Chuviridae
KX884456.1,Rhabdoviridae
KX884457.1,Nyamiviridae
KX884458.1,Chuviridae
KX884459.1,Rhabdoviridae
KX884462.1,Rhabdoviridae
KX884463.1,Xinmoviridae
KX884758.1,Mypoviridae
KX884772.1,Phenuiviridae
KX884773.1,Phenuiviridae
KX884774.1,Phenuiviridae
KX884775.1,Phasmaviridae
KX884776.1,Phasmaviridae
KX884786.1,Phasmaviridae
KX884787.1,Phasmaviridae
KX884796.1,Phenuiviridae
KX884798.1,Phenuiviridae
KX884799.1,Phenuiviridae
KX884800.1,Phenuiviridae
KX884801.1,Phenuiviridae
KX884809.1,Phenuiviridae
KX884811.1,Phenuiviridae
KX884857.1,Cruliviridae
KX889068.2,Schitoviridae
KX897157.1,Tombusviridae
KX898416.1,Chrysoviridae
KX898417.1,Chrysoviridae
KX898418.1,Chrysoviridae
KX905133.1,Flaviviridae
KX907333.1,Parvoviridae
KX924630.1,Chuviridae
KX924631.1,Chuviridae
KX932454.2,Paramyxoviridae
KX938425.1,Alphasatellitidae
KX947267.1,Roniviridae
KX949590.1,Orthomyxoviridae
KX949591.1,Orthomyxoviridae
KX960111.1,Phenuiviridae
KX960112.1,Phenuiviridae
KX961096.1,Adenoviridae
KX961631.1,Salasmaviridae
KX977569.1,Endornaviridae
KX981923.1,Parvoviridae
KX982176.1,Rhabdoviridae
KX982179.1,Rhabdoviridae
KX987146.1,Circoviridae
KX989543.1,Spinareoviridae
KX989544.1,Spinareoviridae
KX989545.1,Spinareoviridae
KY000080.1,Straboviridae
KY000082.1,Lindbergviridae
KY000083.1,Vandenendeviridae
KY000084.1,Rountreeviridae
KY000220.1,Mesyanzhinovviridae
KY000221.1,Mesyanzhinovviridae
KY006983.1,Rhabdoviridae
KY009685.1,Filamentoviridae
KY013488.1,Peribunyaviridae
KY013489.1,Peribunyaviridae
KY045851.1,Peduoviridae
KY052047.1,Redondoviridae
KY053854.1,Phasmaviridae
KY053857.1,Aliusviridae
KY056250.1,Genomoviridae
KY056254.1,Mesoniviridae
KY056657.1,Fimoviridae
KY056659.1,Fimoviridae
KY069112.1,Picornaviridae
KY069113.1,Picornaviridae
KY070242.1,Nanoviridae
KY070245.1,Nanoviridae
KY070246.1,Nanoviridae
KY073228.1,Vandenendeviridae
KY073493.1,Rhabdoviridae
KY073745.1,Coronaviridae
KY075646.1,Rhabdoviridae
KY084243.1,Autotranscriptaviridae
KY084481.1,Tymoviridae
KY086298.1,Smacoviridae
KY086300.1,Smacoviridae
KY086301.1,Smacoviridae
KY087898.2,Chaseviridae
KY114934.1,Demerecviridae
KY120321.1,Hypoviridae
KY176369.1,Sarkviridae
KY203909.1,Rhabdoviridae
KY214433.1,Genomoviridae
KY214441.1,Genomoviridae
KY214442.1,Genomoviridae
KY214444.1,Parvoviridae
KY214448.1,Parvoviridae
KY223999.1,Vilmaviridae
KY230614.1,Genomoviridae
KY230625.1,Genomoviridae
KY244146.1,Redondoviridae
KY246582.1,Anelloviridae
KY250035.2,Autotranscriptaviridae
KY264020.1,Pleolipoviridae
KY271397.1,Peduoviridae
KY271398.1,Peduoviridae
KY290756.1,Autosignataviridae
KY290975.3,Straboviridae
KY295891.1,Autosignataviridae
KY295894.1,Autotranscriptaviridae
KY295896.1,Sarkviridae
KY295898.1,Sarkviridae
KY302866.1,Genomoviridae
KY302869.1,Draupnirviridae
KY306667.1,Adenoviridae
KY308269.1,Genomoviridae
KY308270.1,Genomoviridae
KY312540.1,Picornaviridae
KY312541.1,Picornaviridae
KY312545.1,Picornaviridae
KY312546.1,Parvoviridae
KY312548.1,Parvoviridae
KY312549.1,Parvoviridae
KY312550.1,Parvoviridae
KY312551.1,Parvoviridae
KY312554.1,Kanorauviridae
KY312555.1,Draupnirviridae
KY312557.1,Genomoviridae
KY312558.1,Genomoviridae
KY316062.1,Autonotataviridae
KY318515.1,Autonotataviridae
KY322437.1,Allomimiviridae
KY328744.1,Redondoviridae
KY328745.1,Redondoviridae
KY328746.1,Redondoviridae
KY341899.1,Polyomaviridae
KY352407.1,Coronaviridae
KY355735.1,Orthoherpesviridae
KY357495.1,Fusariviridae
KY357500.1,Mitoviridae
KY357507.1,Hypoviridae
KY357509.1,Endornaviridae
KY363465.1,Demerecviridae
KY363796.1,Betaflexiviridae
KY364847.1,Solemoviridae
KY366322.2,Rhabdoviridae
KY368640.1,Herelleviridae
KY369299.1,Picornaviridae
KY369300.1,Picornaviridae
KY369959.1,Mesoniviridae
KY369967.1,Arteriviridae
KY369968.1,Arteriviridae
KY369969.1,Arteriviridae
KY370025.1,Kirkoviridae
KY370027.1,Circoviridae
KY370028.1,Circoviridae
KY370029.1,Circoviridae
KY370030.1,Kirkoviridae
KY370034.1,Circoviridae
KY370035.1,Pecoviridae
KY370037.1,Circoviridae
KY370039.1,Circoviridae
KY370041.1,Kirkoviridae
KY370046.1,Coronaviridae
KY370053.1,Coronaviridae
KY370098.1,Paramyxoviridae
KY370100.1,Flaviviridae
KY370101.1,Flaviviridae
KY379853.1,Sarkviridae
KY385390.1,Rhabdoviridae
KY389315.1,Autotranscriptaviridae
KY389316.1,Autotranscriptaviridae
KY392781.1,Betaflexiviridae
KY404016.1,Polyomaviridae
KY405006.1,Bacilladnaviridae
KY405007.1,Bacilladnaviridae
KY421919.1,Rhabdoviridae
KY427939.1,Adenoviridae
KY432472.1,Picornaviridae
KY432892.1,Arenaviridae
KY432893.1,Arenaviridae
KY432924.1,Picornaviridae
KY432925.1,Picornaviridae
KY432927.1,Picornaviridae
KY432929.1,Picornaviridae
KY432930.1,Picornaviridae
KY432931.1,Picornaviridae
KY432932.1,Picornaviridae
KY432933.1,Picornaviridae
KY432934.1,Picornaviridae
KY432935.1,Picornaviridae
KY436034.1,Flaviviridae
KY442063.1,Rountreeviridae
KY450753.1,Autotranscriptaviridae
KY452442.1,Paramyxoviridae
KY452443.1,Paramyxoviridae
KY452444.1,Paramyxoviridae
KY457233.1,Nudiviridae
KY462770.1,Anelloviridae
KY464836.1,Autonotataviridae
KY471386.1,Rountreeviridae
KY487776.1,Kanorauviridae
KY487785.1,Kanorauviridae
KY487839.1,Nenyaviridae
KY487840.1,Nenyaviridae
KY487847.1,Draupnirviridae
KY487854.1,Draupnirviridae
KY487866.1,Draupnirviridae
KY487945.1,Draupnirviridae
KY487991.1,Vilyaviridae
KY488458.1,Picornaviridae
KY489954.1,Chrysoviridae
KY489955.1,Chrysoviridae
KY489956.1,Chrysoviridae
KY511044.1,Paramyxoviridae
KY512802.1,Picornaviridae
KY514264.1,Schitoviridae
KY523072.1,Solemoviridae
KY523104.2,Mimiviridae
KY548508.1,Birnaviridae
KY548509.1,Birnaviridae
KY548519.1,Birnaviridae
KY548520.1,Birnaviridae
KY548840.1,Parvoviridae
KY549442.1,Polyomaviridae
KY549443.1,Herelleviridae
KY549567.1,Rhabdoviridae
KY549659.1,Schitoviridae
KY555809.1,Peribunyaviridae
KY555810.1,Peribunyaviridae
KY562565.1,Potyviridae
KY569262.1,Peribunyaviridae
KY569263.1,Peribunyaviridae
KY569264.1,Peribunyaviridae
KY569301.1,Secoviridae
KY569302.1,Secoviridae
KY605226.1,Solemoviridae
KY608910.1,Nudiviridae
KY608967.1,Straboviridae
KY612317.1,Potyviridae
KY612371.1,Polyomaviridae
KY619305.1,Drexlerviridae
KY620117.1,Casjensviridae
KY623506.1,Potyviridae
KY624849.1,Picornaviridae
KY626162.1,Andersonviridae
KY626176.1,Autosignataviridae
KY628970.1,Orthoherpesviridae
KY640430.1,Parvoviridae
KY640438.1,Parvoviridae
KY645497.1,Picornaviridae
KY646466.1,Secoviridae
KY652723.1,Autotranscriptaviridae
KY652724.1,Autotranscriptaviridae
KY652725.1,Autotranscriptaviridae
KY662265.1,Hantaviridae
KY662266.1,Hantaviridae
KY662274.1,Hantaviridae
KY662275.1,Hantaviridae
KY662280.1,Phenuiviridae
KY662287.1,Phenuiviridae
KY670597.1,Picornaviridae
KY677846.1,Demerecviridae
KY680280.1,Parvoviridae
KY683735.1,Straboviridae
KY694971.1,Drexlerviridae
KY695011.1,Amalgaviridae
KY696659.1,Alphaflexiviridae
KY700683.2,Nairoviridae
KY700684.2,Nairoviridae
KY700685.1,Rhabdoviridae
KY700686.1,Rhabdoviridae
KY703222.1,Straboviridae
KY703886.3,Hepadnaviridae
KY705251.1,Aliceevansviridae
KY705252.1,Aliceevansviridae
KY705253.1,Aliceevansviridae
KY705255.1,Aliceevansviridae
KY705256.1,Aliceevansviridae
KY705257.1,Aliceevansviridae
KY705258.1,Aliceevansviridae
KY705259.1,Aliceevansviridae
KY705260.1,Aliceevansviridae
KY705262.1,Aliceevansviridae
KY705264.1,Aliceevansviridae
KY705266.1,Aliceevansviridae
KY705267.1,Aliceevansviridae
KY705268.1,Aliceevansviridae
KY705270.1,Aliceevansviridae
KY705271.1,Aliceevansviridae
KY705272.1,Aliceevansviridae
KY705273.1,Aliceevansviridae
KY705274.1,Aliceevansviridae
KY705275.1,Aliceevansviridae
KY705276.1,Aliceevansviridae
KY705277.1,Aliceevansviridae
KY705278.1,Aliceevansviridae
KY705279.1,Aliceevansviridae
KY705280.1,Aliceevansviridae
KY705281.1,Aliceevansviridae
KY705284.1,Aliceevansviridae
KY705286.1,Aliceevansviridae
KY705287.1,Aliceevansviridae
KY705288.1,Aliceevansviridae
KY705289.1,Aliceevansviridae
KY705290.1,Aliceevansviridae
KY709296.1,Chaseviridae
KY744229.1,Rudiviridae
KY744230.1,Rudiviridae
KY744231.1,Rudiviridae
KY744233.1,Rudiviridae
KY744234.1,Rudiviridae
KY747497.1,Poxviridae
KY748210.1,Adenoviridae
KY761948.1,Picornaviridae
KY766069.1,Flaviviridae
KY768856.1,Rhabdoviridae
KY769270.1,Schitoviridae
KY780087.1,Hantaviridae
KY780088.1,Hantaviridae
KY780159.1,Portogloboviridae
KY780482.1,Drexlerviridae
KY783316.1,Amalgaviridae
KY787213.1,Ackermannviridae
KY793538.1,Peribunyaviridae
KY793539.1,Peribunyaviridae
KY798120.1,Autotranscriptaviridae
KY798121.1,Autotranscriptaviridae
KY810772.1,Rhabdoviridae
KY817360.1,Tectiviridae
KY820716.1,Solemoviridae
KY827394.1,Caulimoviridae
KY827395.1,Caulimoviridae
KY828925.2,Potyviridae
KY851116.1,Circoviridae
KY853667.1,Inoviridae
KY855432.1,Picornaviridae
KY855435.1,Picornaviridae
KY856742.1,Anelloviridae
KY867751.1,Secoviridae
KY883655.1,Demerecviridae
KY884303.1,Rhabdoviridae
KY884720.1,Partitiviridae
KY906214.1,Fusariviridae
KY910429.1,Peribunyaviridae
KY910430.1,Peribunyaviridae
KY921761.1,Salasmaviridae
KY931659.1,Picornaviridae
KY945241.1,Kyanoviridae
KY947509.1,Salasmaviridae
KY962008.1,Autotranscriptaviridae
KY962683.1,Hepadnaviridae
KY963424.1,Demerecviridae
KY965147.1,Rhabdoviridae
KY965444.1,Orthoherpesviridae
KY971609.1,Casjensviridae
KY971610.1,Straboviridae
KY977507.1,Hepadnaviridae
KY981272.1,Autonotataviridae
KY985004.1,Drexlerviridae
KY994101.1,Vandenendeviridae
L04573.1,Solemoviridae
L06436.1,Flaviviridae
L06906.1,Retroviridae
L07269.1,Virgaviridae
